escuela,puntaje,postulantes,ingresantes,tasa_ingreso
PRESUPUESTO Y FINANZAS PÚBLICAS - S.J.L,447.0,18,18,1.0
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - S.J.L,492.625,12,12,1.0
ADMINISTRACIÓN - HUARAL,534.75,11,10,0.9090909090909091
GESTIÓN TRIBUTARIA - S.J.L,571.875,24,20,0.8333333333333334
INVESTIGACIÓN OPERATIVA,674.25,101,49,0.48514851485148514
CONTABILIDAD - HUARAL,674.25,38,20,0.5263157894736842
COMPUTACIÓN CIENTÍFICA,699.375,79,48,0.6075949367088608
FÍSICA,701.875,64,35,0.546875
ADMINISTRACIÓN DE TURISMO - S.J.L,704.375,23,10,0.43478260869565216
BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,718.125,27,15,0.5555555555555556
ADMINISTRACIÓN DE TURISMO - HUARAL,722.375,18,10,0.5555555555555556
MATEMÁTICA,729.0,100,49,0.49
QUÍMICA,743.25,51,28,0.5490196078431373
ESTADÍSTICA,745.625,97,47,0.4845360824742268
INGENIERÍA TEXTIL Y CONFECCIONES,750.75,64,26,0.40625
INGENIERÍA GEOGRÁFICA,754.125,61,25,0.4098360655737705
ADMINISTRACION MARITIMA Y PORTUARIA - HUARAL,757.75,37,12,0.32432432432432434
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - HUARAL,766.75,31,9,0.2903225806451613
CONTABILIDAD - S.J.L,786.625,50,20,0.4
ARTE,789.0,48,17,0.3541666666666667
GEOGRAFÍA,799.25,74,35,0.47297297297297297
INGENIERIA DEL AGUA Y TECNOLOGIAS DE TRATAMIENTO,815.75,112,16,0.14285714285714285
MICROBIOLOGÍA Y PARASITOLOGÍA,826.125,76,24,0.3157894736842105
CONSERVACIÓN Y RESTAURACIÓN,826.375,46,12,0.2608695652173913
LINGUÍSTICA,830.125,34,16,0.47058823529411764
INGENIERÍA DE SEGURIDAD Y SALUD EN EL TRABAJO,834.125,48,18,0.375
INGENIERÍA NUCLEAR,837.5,142,21,0.14788732394366197
INGENIERÍA AGROINDUSTRIAL,837.5,153,35,0.22875816993464052
CRIMINALÍSTICA FINANCIERA FORENSE,858.5,160,40,0.25
ANTROPOLOGÍA,860.375,61,23,0.3770491803278688
ADMINISTRACIÓN DE TURISMO - LIMA,863.75,160,45,0.28125
INGENIERÍA MECÁNICA DE FLUIDOS,865.5,106,30,0.2830188679245283
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,870.5,112,35,0.3125
ADMINISTRACIÓN - S.J.L,872.25,36,10,0.2777777777777778
SOCIOLOGÍA,885.5,82,22,0.2682926829268293
ARQUEOLOGÍA,893.5,96,23,0.23958333333333334
CIENCIAS BIOLÓGICAS,898.0,163,25,0.15337423312883436
PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA,902.875,123,35,0.2845528455284553
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,906.0,59,9,0.15254237288135594
