escuela,postulantes,ingresantes,tasa_ingreso
ADMINISTRACION MARITIMA Y PORTUARIA - HUARAL,37,12,0.32432432432432434
ADMINISTRACIÓN - HUARAL,11,10,0.9090909090909091
ADMINISTRACIÓN - LIMA,524,83,0.15839694656488548
ADMINISTRACIÓN - S.J.L,36,10,0.2777777777777778
ADMINISTRACIÓN DE LA GASTRONOMÍA,130,12,0.09230769230769231
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - HUARAL,31,9,0.2903225806451613
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - LIMA,914,48,0.0525164113785558
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,59,9,0.15254237288135594
ADMINISTRACIÓN DE TURISMO - HUARAL,18,10,0.5555555555555556
ADMINISTRACIÓN DE TURISMO - LIMA,160,45,0.28125
ADMINISTRACIÓN DE TURISMO - S.J.L,23,10,0.43478260869565216
ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,119,11,0.09243697478991597
ANTROPOLOGÍA,61,23,0.3770491803278688
ARQUEOLOGÍA,96,23,0.23958333333333334
ARQUITECTURA Y URBANISMO,589,20,0.03395585738539898
ARTE,48,17,0.3541666666666667
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,112,35,0.3125
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - S.J.L,12,12,1.0
BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,27,15,0.5555555555555556
CIENCIA DE LA COMPUTACIÓN,114,15,0.13157894736842105
CIENCIA POLÍTICA,397,41,0.10327455919395466
CIENCIAS BIOLÓGICAS,163,25,0.15337423312883436
CIENCIAS DE LOS ALIMENTOS,45,10,0.2222222222222222
COMPUTACIÓN CIENTÍFICA,79,48,0.6075949367088608
COMUNICACIÓN SOCIAL,310,18,0.05806451612903226
CONSERVACIÓN Y RESTAURACIÓN,46,12,0.2608695652173913
CONTABILIDAD - HUARAL,38,20,0.5263157894736842
CONTABILIDAD - LIMA,476,102,0.21428571428571427
CONTABILIDAD - S.J.L,50,20,0.4
CRIMINALÍSTICA FINANCIERA FORENSE,160,40,0.25
DANZA,10,6,0.6
DERECHO,2107,136,0.064546748932131
ECONOMÍA,689,77,0.11175616835994194
ECONOMÍA INTERNACIONAL,229,68,0.29694323144104806
ECONOMÍA PÚBLICA,170,64,0.3764705882352941
EDUCACIÓN FÍSICA,173,55,0.3179190751445087
EDUCACIÓN INICIAL,164,12,0.07317073170731707
EDUCACIÓN PRIMARIA,112,12,0.10714285714285714
EDUCACIÓN SECUNDARIA,328,60,0.18292682926829268
ENFERMERÍA,587,46,0.07836456558773425
ESTADÍSTICA,97,47,0.4845360824742268
FARMACIA Y BIOQUÍMICA,262,29,0.11068702290076336
FILOSOFÍA,54,17,0.3148148148148148
FÍSICA,64,35,0.546875
GENÉTICA Y BIOTECNOLOGÍA,157,21,0.1337579617834395
GEOGRAFÍA,74,35,0.47297297297297297
GESTIÓN TRIBUTARIA - LIMA,242,36,0.1487603305785124
GESTIÓN TRIBUTARIA - S.J.L,24,20,0.8333333333333334
