escuela,facultad,sede
ADMINISTRACION MARITIMA Y PORTUARIA - HUARAL,CIENCIAS ADMINISTRATIVAS,HUARAL
ADMINISTRACIÓN - HUARAL,CIENCIAS ADMINISTRATIVAS,HUARAL
ADMINISTRACIÓN - LIMA,CIENCIAS ADMINISTRATIVAS,LIMA
ADMINISTRACIÓN - S.J.L,CIENCIAS ADMINISTRATIVAS,SAN JUAN DE LURIGANCHO
ADMINISTRACIÓN DE LA GASTRONOMÍA,CIENCIAS ADMINISTRATIVAS,LIMA
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - HUARAL,CIENCIAS ADMINISTRATIVAS,HUARAL
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - LIMA,CIENCIAS ADMINISTRATIVAS,LIMA
ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L,CIENCIAS ADMINISTRATIVAS,SAN JUAN DE LURIGANCHO
ADMINISTRACIÓN DE TURISMO - HUARAL,CIENCIAS ADMINISTRATIVAS,HUARAL
ADMINISTRACIÓN DE TURISMO - LIMA,CIENCIAS ADMINISTRATIVAS,LIMA
ADMINISTRACIÓN DE TURISMO - S.J.L,CIENCIAS ADMINISTRATIVAS,SAN JUAN DE LURIGANCHO
ADMINISTRACIÓN MARÍTIMA Y PORTUARIA,CIENCIAS ADMINISTRATIVAS,LIMA
ANTROPOLOGÍA,CIENCIAS SOCIALES,LIMA
ARQUEOLOGÍA,CIENCIAS SOCIALES,LIMA
ARQUITECTURA Y URBANISMO,INGENIERÍA GEOLÓGICA MINERA METALÚRGICA Y GEOGRÁFICA,LIMA
ARTE,ARTE,LIMA
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA,CIENCIAS CONTABLES,LIMA
AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - S.J.L,CIENCIAS CONTABLES,SAN JUAN DE LURIGANCHO
BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN,LETRAS Y CIENCIAS HUMANAS,LIMA
CIENCIA DE LA COMPUTACIÓN,CIENCIAS MATEMÁTICAS,LIMA
CIENCIA POLÍTICA,DERECHO Y CIENCIA POLÍTICA,LIMA
